Belt,Division,Division Group,No.,Name,Country,Date,Location,Defenses,Days,Ended,Notes,Next Champ Date,Day until Next Champ,Region,Continent,Title Type
WBA,Heavyweight,Heavyweight,1, Floyd Patterson,US,8/23/1962,,0,34,,"Patterson won the NBA title from Ingemar Johansson on June 20, 1960; the NBA became the WBA on August 23, 1962",9/25/1962,33,North America,North America,
WBA,Heavyweight,Heavyweight,2, Sonny Liston,US,9/25/1962,,1,519,,,2/25/1964,518,North America,North America,
WBA,Heavyweight,Heavyweight,3, Muhammad Ali,US,2/25/1964,,0,?,,"Ali was stripped for facing Liston in a rematch on May 25, 1965",3/5/1965,374,North America,North America,
WBA,Heavyweight,Heavyweight,4, Ernie Terrell (v. Eddie Machen),US,3/5/1965,,2,703,,,2/6/1967,703,North America,North America,
WBA,Heavyweight,Heavyweight,5, Muhammad Ali (2),US,2/6/1967,,1,446,,Ali was stripped due to his refusal to be drafted to Army service,4/27/1968,446,North America,North America,
WBA,Heavyweight,Heavyweight,6, Jimmy Ellis (v. Jerry Quarry),US,4/27/1968,,1,660,,,2/16/1970,660,North America,North America,
WBA,Heavyweight,Heavyweight,7, Joe Frazier,US,2/16/1970,,4,1071,,,1/22/1973,1071,North America,North America,
WBA,Heavyweight,Heavyweight,8, George Foreman,US,1/22/1973,,2,646,,,10/30/1974,646,North America,North America,
WBA,Heavyweight,Heavyweight,9, Muhammad Ali (3),US,10/30/1974,,10,1204,,,2/15/1978,1204,North America,North America,
WBA,Heavyweight,Heavyweight,10, Leon Spinks,US,2/15/1978,,0,212,,,9/15/1978,212,North America,North America,
WBA,Heavyweight,Heavyweight,11, Muhammad Ali (4),US,9/15/1978,,0,398,,Ali vacated and announced retirement although he would come back a year later to fight Larry Holmes,10/20/1979,400,North America,North America,
WBA,Heavyweight,Heavyweight,12, John Tate (v. Gerrie Coetzee),US,10/20/1979,,0,163,,,3/31/1980,163,North America,North America,
WBA,Heavyweight,Heavyweight,13, Mike Weaver,US,3/31/1980,,2,984,,,12/10/1982,984,North America,North America,
WBA,Heavyweight,Heavyweight,14, Michael Dokes,US,12/10/1982,,1,287,,,9/23/1983,287,North America,North America,
WBA,Heavyweight,Heavyweight,15, Gerrie Coetzee,South Africa,9/23/1983,,0,435,,,12/1/1984,435,Sub-Saharan Africa,Africa,
WBA,Heavyweight,Heavyweight,16, Greg Page,US,12/1/1984,,0,149,,,4/29/1985,149,North America,North America,
WBA,Heavyweight,Heavyweight,17, Tony Tubbs,US,4/29/1985,,0,263,,,1/17/1986,263,North America,North America,
WBA,Heavyweight,Heavyweight,18, Tim Witherspoon,US,1/17/1986,,1,329,,,12/12/1986,329,North America,North America,
WBA,Heavyweight,Heavyweight,19, James Smith,US,12/12/1986,,0,85,,,3/7/1987,85,North America,North America,
WBA,Heavyweight,Heavyweight,20, Mike Tyson,US,3/7/1987,,8,1072,,,2/11/1990,1072,North America,North America,
WBA,Heavyweight,Heavyweight,21, Buster Douglas,US,2/11/1990,,0,256,,,10/25/1990,256,North America,North America,
WBA,Heavyweight,Heavyweight,22, Evander Holyfield,US,10/25/1990,,3,750,,,11/13/1992,750,North America,North America,
WBA,Heavyweight,Heavyweight,23, Riddick Bowe,US,11/13/1992,,2,358,,,11/6/1993,358,North America,North America,
WBA,Heavyweight,Heavyweight,24, Evander Holyfield (2),US,11/6/1993,,0,167,,,4/22/1994,167,North America,North America,
WBA,Heavyweight,Heavyweight,25, Michael Moorer,US,4/22/1994,,0,103,,,11/5/1994,197,North America,North America,
WBA,Heavyweight,Heavyweight,26, George Foreman (2),US,11/5/1994,,0,120,,Foreman was stripped after refusing to fight mandatory challenger Tony Tucker,4/8/1995,154,North America,North America,
WBA,Heavyweight,Heavyweight,27, Bruce Seldon (v. Tony Tucker),US,4/8/1995,,1,518,,,9/7/1996,518,North America,North America,
WBA,Heavyweight,Heavyweight,28, Mike Tyson (2),US,9/7/1996,,0,155,,,11/9/1996,63,North America,North America,
WBA,Heavyweight,Heavyweight,29, Evander Holyfield (3),US,11/9/1996,,4,1099,,,11/13/1999,1099,North America,North America,
WBA,Heavyweight,Heavyweight,30, Lennox Lewis,Great Britain,11/13/1999,,0,138,,"Lewis was stripped after agreeing to fight WBC challenger Michael Grant instead of John Ruiz. Ruiz challenged this decision in court on the basis of a clause in the Lewis–Holyfield rematch contract which said Lewis's first bout as undisputed champion would be against the WBA's number one contender. For this reason, the WBA created the Super title.",8/12/2000,273,Western Europe,Europe,
WBA,Heavyweight,Heavyweight,31, Evander Holyfield (4) (v. John Ruiz),US,8/12/2000,,0,356,,,3/3/2001,203,North America,North America,
